Key,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish
ORACLE_WIKI_TITLE,POSSIBLE SKILLS,可能的技能,COMPÉTENCES POSSIBLES,MÖGLICHE FÄHIGKEITEN,ABILITÀ POSSIBILI,MOŻLIWE UMIEJĘTNOŚCI,ВОЗМОЖНЫЕ НАВЫКИ,HABILIDADES POSIBLES
ORACLE_AllowPerkSwap,Perk Swap,天赋替换,Échange de perk,Perk-Tausch,Scambio perk,Wymiana perka,Замена перков,Cambio de perk
ORACLE_AllowPerkSwap_DESCRIPTION,"Left-click a perk in the wiki to swap the soldier's learned perk for it, for free.","在百科中左键点击某个天赋，即可免费替换士兵已学会的天赋。","Clic gauche sur un perk dans le wiki pour remplacer gratuitement le perk appris du soldat.","Linksklick auf einen Perk im Wiki, um den erlernten Perk des Soldaten kostenlos zu ersetzen.","Clic sinistro su un perk nel wiki per sostituire gratuitamente il perk appreso del soldato.","Kliknij perk w wiki lewym przyciskiem, aby za darmo zamienić wyuczony perk żołnierza.","Левый клик по перку в вики бесплатно заменяет выученный перк бойца.","Clic izquierdo en un perk del wiki para sustituir gratis el perk aprendido del soldado."
ORACLE_Research_Name,Operative Reconditioning,干员再调适,Reconditionnement des opérateurs,Operative-Umkonditionierung,Ricondizionamento degli operativi,Przekwalifikowanie operatorów,Переподготовка оперативников,Reacondicionamiento de operativos
ORACLE_Research_Description,"Phoenix Project drill records survived the collapse. They describe how a trained operative can be put back through conditioning and brought out the other side with a different specialty. Old reflexes are not added to, they are overwritten. The work is dull and the soldier is off the line while it runs, but a squad is no longer stuck with the specialists it was handed.","凤凰计划的训练记录在大崩溃中幸存了下来。它们记载了如何让一名训练有素的干员重新接受训练，并以另一种专长完成蜕变。旧的反射并非被叠加，而是被覆盖重写。这项工作枯燥乏味，且士兵在此期间会暂时退出一线，但小队不再被最初分配的专家所束缚。","Les fichiers d'entraînement du Projet Phénix ont survécu à l'effondrement. Ils décrivent comment un opérateur entraîné peut être soumis de nouveau au conditionnement pour en ressortir avec une autre spécialité. Les anciens réflexes ne sont pas complétés, ils sont écrasés. Le travail est monotone et le soldat est hors service le temps qu'il dure, mais une escouade n'est plus prisonnière des spécialistes qu'on lui a confiés.","Die Ausbildungsaufzeichnungen des Phoenix-Projekts haben den Zusammenbruch überstanden. Sie beschreiben, wie ein ausgebildeter Operative erneut durch die Konditionierung geschickt und mit einer anderen Spezialisierung wieder herausgeholt werden kann. Alte Reflexe werden nicht ergänzt, sondern überschrieben. Die Arbeit ist eintönig und der Soldat ist währenddessen außer Dienst, aber ein Trupp ist nicht länger an die Spezialisten gebunden, die ihm zugeteilt wurden.","I registri di addestramento del Progetto Phoenix sono sopravvissuti al collasso. Descrivono come un operativo addestrato possa essere sottoposto di nuovo al condizionamento e riemergere con una specializzazione diversa. I vecchi riflessi non vengono integrati, ma sovrascritti. Il lavoro è monotono e durante la procedura il soldato non è disponibile per le missioni, ma una squadra non è più vincolata agli specialisti che le sono stati assegnati.","Zapisy szkoleniowe Projektu Feniks przetrwały upadek. Opisują, jak wyszkolonego operatora można ponownie poddać kondycjonowaniu i wyprowadzić z niego z nową specjalizacją. Stare odruchy nie są uzupełniane, lecz nadpisywane. Praca jest nużąca, a żołnierz na ten czas wypada ze służby, ale oddział nie jest już przywiązany do specjalistów, których mu przydzielono.","Уцелели тренировочные протоколы «Феникса». В них описано, как обученного бойца можно заново провести через подготовку и вывести из неё с другой специализацией. Старые рефлексы не дополняются, а переписываются. Работа муторная, и на это время боец выбывает из строя, но отряд больше не привязан к тому набору специалистов, что достался изначально.","Los registros de entrenamiento del Proyecto Phoenix sobrevivieron al colapso. Describen cómo un operativo entrenado puede volver a someterse al acondicionamiento y salir del otro lado con una especialidad distinta. Los viejos reflejos no se añaden, se sobrescriben. El trabajo es tedioso y el soldado queda fuera de servicio mientras dura, pero un escuadrón ya no está atado a los especialistas que le asignaron."
ORACLE_Research_Benefits,"Retrains a soldier so a personal perk gained at random can be relearned as a different one.","让一名士兵重新接受训练，使其随机获得的个人天赋能够被改学为另一种。","Réentraîne un soldat afin qu'un perk personnel obtenu au hasard puisse être réappris autrement.","Bildet einen Soldaten neu aus, sodass ein zufällig erlangter persönlicher Perk als ein anderer neu erlernt werden kann.","Riaddestra un soldato così che un perk personale ottenuto a caso possa essere riappreso come un altro.","Przeszkala żołnierza tak, by losowo zdobyty osobisty perk można było wyuczyć na nowo jako inny.","Переучивает бойца так, что случайно полученный личный перк можно сменить на другой.","Reentrena a un soldado para que un perk personal obtenido al azar pueda reaprenderse como otro distinto."
ORACLE_Research_Complete,Reconditioning protocols restored. Operatives can be retrained.,再调适协议已恢复。干员可以重新接受训练。,Protocoles de reconditionnement restaurés. Les opérateurs peuvent être réentraînés.,Umkonditionierungsprotokolle wiederhergestellt. Operatives können neu ausgebildet werden.,Protocolli di ricondizionamento ripristinati. Gli operativi possono essere riaddestrati.,Protokoły przeszkolenia przywrócone. Operatorzy mogą zostać przeszkoleni ponownie.,Протоколы переподготовки восстановлены. Оперативников можно переучивать.,Protocolos de reacondicionamiento restaurados. Los operativos pueden volver a entrenarse.
ORACLE_SwapResearchLocked,"Soldiers can only be retrained once the ""Operative Reconditioning"" research is complete.","只有在完成“干员再调适”研究后，才能让士兵重新接受训练。","Les soldats ne peuvent être réentraînés qu'une fois la recherche « Reconditionnement des opérateurs » achevée.","Soldaten können erst neu ausgebildet werden, wenn die Forschung „Operative-Umkonditionierung“ abgeschlossen ist.","I soldati possono essere riaddestrati solo una volta completata la ricerca «Ricondizionamento degli operativi».","Żołnierzy można przeszkolić dopiero po ukończeniu badania „Przekwalifikowanie operatorów”.","Бойцов можно переучивать только после завершения исследования «Переподготовка оперативников».","Los soldados solo pueden reentrenarse una vez completada la investigación «Reacondicionamiento de operativos»."
ORACLE_RequirePerkSwapResearch,Require Research,需要研究,Nécessite une recherche,Forschung erforderlich,Richiede ricerca,Wymaga badania,Требует исследования,Requiere investigación
ORACLE_RequirePerkSwapResearch_DESCRIPTION,"When on, perk swapping requires the ""Operative Reconditioning"" research to be completed first. Turn off for free play.","开启后，替换天赋需要先完成“干员再调适”研究。关闭则可自由替换。","Si activé, l'échange de perk nécessite d'abord d'achever la recherche « Reconditionnement des opérateurs ». Désactivez pour jouer librement.","Wenn aktiviert, erfordert der Perk-Tausch, dass zuerst die Forschung „Operative-Umkonditionierung“ abgeschlossen ist. Zum freien Spielen deaktivieren.","Se attivo, lo scambio dei perk richiede prima il completamento della ricerca «Ricondizionamento degli operativi». Disattiva per il gioco libero.","Gdy włączone, wymiana perków wymaga najpierw ukończenia badania „Przekwalifikowanie operatorów”. Wyłącz dla swobodnej gry.","Когда включено, замена перков требует сначала завершить исследование «Переподготовка оперативников». Выключите для свободной игры.","Si está activado, el cambio de perk requiere completar primero la investigación «Reacondicionamiento de operativos». Desactívalo para el juego libre."
